feature,coefficient,absolute_coefficient,direction
categorical__agent_326,0.5123265078477736,0.5123265078477736,higher cancellation score
categorical__agent_94,0.5107958982259718,0.5107958982259718,higher cancellation score
categorical__country_PRY,-0.5096412931051938,0.5096412931051938,lower cancellation score
categorical__agent_252,-0.49728097577617875,0.49728097577617875,lower cancellation score
categorical__country_JOR,-0.4941267882632578,0.4941267882632578,lower cancellation score
categorical__agent_163,-0.4876768587812324,0.4876768587812324,lower cancellation score
categorical__agent_328,-0.46826129524335885,0.46826129524335885,lower cancellation score
categorical__country_RWA,-0.46333471195867276,0.46333471195867276,lower cancellation score
categorical__country_KAZ,-0.46272131814680095,0.46272131814680095,lower cancellation score
categorical__agent_283,-0.46174841765109415,0.46174841765109415,lower cancellation score
categorical__country_JAM,-0.4549074308208561,0.4549074308208561,lower cancellation score
categorical__country_CIV,-0.4548632280897637,0.4548632280897637,lower cancellation score
categorical__country_BOL,-0.446077372558966,0.446077372558966,lower cancellation score
categorical__agent_195,-0.44511365498211714,0.44511365498211714,lower cancellation score
numeric__arrival_date_year,0.44403113140421585,0.44403113140421585,higher cancellation score
categorical__agent_481,-0.4437446190776208,0.4437446190776208,lower cancellation score
categorical__country_OMN,0.44058221962277627,0.44058221962277627,higher cancellation score
categorical__agent_269,-0.4391043072266364,0.4391043072266364,lower cancellation score
categorical__agent_411,-0.4309434128743043,0.4309434128743043,lower cancellation score
categorical__country_ARG,-0.4297134002782745,0.4297134002782745,lower cancellation score
categorical__agent_410,0.42401920835926554,0.42401920835926554,higher cancellation score
categorical__country_URY,-0.42015781735511276,0.42015781735511276,lower cancellation score
categorical__market_segment_Online TA,0.41704494622294674,0.41704494622294674,higher cancellation score
categorical__country_UZB,0.41579732211493803,0.41579732211493803,higher cancellation score
categorical__agent_53,-0.4149308337882526,0.4149308337882526,lower cancellation score
categorical__country_IND,-0.4140550652391078,0.4140550652391078,lower cancellation score
categorical__agent_9,0.40863850938318264,0.40863850938318264,higher cancellation score
categorical__agent_291,0.40362321438070103,0.40362321438070103,higher cancellation score
categorical__agent_12,-0.403229799592356,0.403229799592356,lower cancellation score
categorical__country_USA,-0.39804616762697576,0.39804616762697576,lower cancellation score
categorical__agent_436,-0.39740555656665727,0.39740555656665727,lower cancellation score
categorical__agent_74,-0.3957369989069644,0.3957369989069644,lower cancellation score
categorical__agent_185,0.3906935188257062,0.3906935188257062,higher cancellation score
categorical__country_CHN,0.39052095271183435,0.39052095271183435,higher cancellation score
