feature,coefficient,absolute_coefficient,direction
categorical__agent_77,-1.242379707512427,1.242379707512427,lower cancellation score
categorical__agent_332,1.2415365068660074,1.2415365068660074,higher cancellation score
categorical__country_TJK,1.2247867332381734,1.2247867332381734,higher cancellation score
categorical__country_JPN,-1.2229020164817772,1.2229020164817772,lower cancellation score
categorical__agent_181,-1.2069521734281448,1.2069521734281448,lower cancellation score
categorical__agent_85,-1.1753916825232982,1.1753916825232982,lower cancellation score
categorical__agent_30,-1.16011060063612,1.16011060063612,lower cancellation score
categorical__agent_171,-1.1384683198332333,1.1384683198332333,lower cancellation score
categorical__agent_8,-1.136703623065819,1.136703623065819,lower cancellation score
categorical__country_MYS,-1.1319001696194255,1.1319001696194255,lower cancellation score
categorical__agent_493,-1.1162278366020209,1.1162278366020209,lower cancellation score
categorical__agent_15,-1.1134973534000583,1.1134973534000583,lower cancellation score
categorical__agent_42,-1.1049587129979286,1.1049587129979286,lower cancellation score
categorical__country_DEU,-1.0962098731120375,1.0962098731120375,lower cancellation score
categorical__agent_527,-1.0956263081602557,1.0956263081602557,lower cancellation score
categorical__agent_115,-1.0864037622611522,1.0864037622611522,lower cancellation score
categorical__country_LVA,-1.068300151783157,1.068300151783157,lower cancellation score
categorical__country_BGR,-1.0682678381662525,1.0682678381662525,lower cancellation score
categorical__country_MEX,-1.063304476316761,1.063304476316761,lower cancellation score
categorical__agent_214,1.0569255249888745,1.0569255249888745,higher cancellation score
categorical__agent_253,-1.0568171928915675,1.0568171928915675,lower cancellation score
categorical__country_BEL,-1.0533476666227874,1.0533476666227874,lower cancellation score
categorical__country_AUT,-1.0473227008808843,1.0473227008808843,lower cancellation score
categorical__country_CYP,-1.0413320244062154,1.0413320244062154,lower cancellation score
categorical__country_DNK,-1.0393774987462474,1.0393774987462474,lower cancellation score
categorical__country_NLD,-1.0270683042126307,1.0270683042126307,lower cancellation score
categorical__agent_187,-1.0185955072052402,1.0185955072052402,lower cancellation score
categorical__agent_205,-1.0079150933229781,1.0079150933229781,lower cancellation score
categorical__agent_141,-1.0036266400048446,1.0036266400048446,lower cancellation score
categorical__agent_38,0.9842571342691698,0.9842571342691698,higher cancellation score
categorical__country_MDV,0.9779599994660851,0.9779599994660851,higher cancellation score
categorical__country_GEO,0.9777219416237476,0.9777219416237476,higher cancellation score
categorical__country_NOR,-0.9688778170834728,0.9688778170834728,lower cancellation score
categorical__country_POL,-0.9674538585264549,0.9674538585264549,lower cancellation score
categorical__agent_4,-0.9647314909997132,0.9647314909997132,lower cancellation score
categorical__agent_348,-0.9569797944278405,0.9569797944278405,lower cancellation score
categorical__agent_261,-0.9568339063922686,0.9568339063922686,lower cancellation score
categorical__agent_385,0.9444306753290509,0.9444306753290509,higher cancellation score
categorical__country_FIN,-0.9438768382667224,0.9438768382667224,lower cancellation score
categorical__agent_95,-0.9404959963013403,0.9404959963013403,lower cancellation score
categorical__country_HRV,-0.9350572194831216,0.9350572194831216,lower cancellation score
categorical__agent_103,-0.9268063752517925,0.9268063752517925,lower cancellation score
categorical__agent_339,-0.9149438478947476,0.9149438478947476,lower cancellation score
categorical__agent_418,-0.9036526016771043,0.9036526016771043,lower cancellation score
categorical__country_FRA,-0.9021969041775761,0.9021969041775761,lower cancellation score
categorical__agent_24,-0.8963342734274647,0.8963342734274647,lower cancellation score
categorical__agent_88,-0.8663908986436253,0.8663908986436253,lower cancellation score
categorical__country_BGD,0.8623347747110885,0.8623347747110885,higher cancellation score
categorical__agent_128,-0.8565376070314419,0.8565376070314419,lower cancellation score
categorical__agent_378,-0.8543064897319387,0.8543064897319387,lower cancellation score
categorical__country_CMR,-0.8498842716023062,0.8498842716023062,lower cancellation score
