candidate,family,representation,mean_f1,fold_sd_f1,mean_accuracy,mean_precision,mean_recall,mean_roc_auc,mean_training_f1,mean_f1_gap,mean_fit_seconds,mean_encoded_columns
majority,majority,none,0.0,0.0,0.6381670534181515,0.0,0.0,0.5,0.0,0.0,0.002263097666855174,0.0
lr_full,logistic_regression,full,0.6930938270607898,0.04590375151015996,0.7513698776468744,0.6810245189986817,0.753386453333885,0.8760977821949609,0.81726715569031,0.12417332862952017,1.4948703396667042,414.3333333333333
lr_selected,logistic_regression,selected,0.7136094599372149,0.019669190969926663,0.8093139771357047,0.7833643114936036,0.659497573234905,0.8829047872554631,0.8145292520213769,0.10091979208416209,1.3703798429999854,309.0
rf_full,random_forest,full,0.6265036735133451,0.047178788330150864,0.7934979425613093,0.9066615345801193,0.4811185059807152,0.8864726377147735,0.9902999165696831,0.36379624305633795,20.09862893866678,414.3333333333333
rf_selected,random_forest,selected,0.6579935603681834,0.016997410230781735,0.8038663002974883,0.8937171512858044,0.521713799954295,0.8922670283658105,0.9902021541073022,0.3322085937391188,19.409044566666733,309.0
