mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,params,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,mean_train_f1,std_train_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_tn,split1_test_tn,split2_test_tn,mean_test_tn,std_test_tn,rank_test_tn,split0_train_tn,split1_train_tn,split2_train_tn,mean_train_tn,std_train_tn,split0_test_fp,split1_test_fp,split2_test_fp,mean_test_fp,std_test_fp,rank_test_fp,split0_train_fp,split1_train_fp,split2_train_fp,mean_train_fp,std_train_fp,split0_test_fn,split1_test_fn,split2_test_fn,mean_test_fn,std_test_fn,rank_test_fn,split0_train_fn,split1_train_fn,split2_train_fn,mean_train_fn,std_train_fn,split0_test_tp,split1_test_tp,split2_test_tp,mean_test_tp,std_test_tp,rank_test_tp,split0_train_tp,split1_train_tp,split2_train_tp,mean_train_tp,std_train_tp
1.9352896213531494,0.7420341823686434,0.1878995100657145,0.0008759185443588097,,8,1,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__min_samples_leaf"": 1}",0.6027840725153771,0.44321669736034375,0.4451985692011373,0.4970664463589527,0.07475802884020981,12,0.7985692242951326,0.7097211245342667,0.6301182294546699,0.712802859428023,0.06880434692252102,0.7945841878374419,0.7329660161507402,0.7474216042423483,0.7583239360768435,0.0263102692254697,11,0.8793125183846703,0.838267980708744,0.8034449948227129,0.8403418313053758,0.031007482162416878,0.9844039122389638,0.9964511041009464,0.9983545865898807,0.9930698676432637,0.006176832991018664,1,0.9992978760751272,0.9991522729681043,0.9990814963259853,0.9991772151230723,9.00800839272619e-05,0.43438702904467513,0.28498928611706326,0.2864730878186969,0.3352831343268117,0.07007965409950524,12,0.6649924074290386,0.5503093264853508,0.46017460866889737,0.5584921141944289,0.08381647086842503,0.867580336011505,0.874291115962534,0.8770822309176924,0.8729845609639103,0.003987632227724357,9,0.9683195963157119,0.9495780751121203,0.9325481119881638,0.9501485944719986,0.014609218368413855,15261.0,14900.0,15473.0,15211.333333333334,236.54785750221646,1,15232.0,30548.0,45454.0,30411.333333333332,12338.458286548157,59.0,9.0,4.0,24.0,24.8327740429189,12,4.0,8.0,11.0,7.666666666666667,2.8674417556808756,4849.0,6340.0,6045.0,5744.666666666667,644.6809719198757,1,2868.0,7705.0,14036.0,8203.0,4572.895435789744,3724.0,2527.0,2427.0,2892.6666666666665,589.2573480426207,12,5693.0,9429.0,11965.0,9029.0,2576.1076582058186
1.9287342230478923,0.703147327522588,0.21542795499165854,0.01637824043432969,,8,10,"{""model__class_weight"": null, ""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",0.6022966197638687,0.44407462555837784,0.445300320953691,0.49722385542531256,0.07429934919683505,11,0.7977858744394619,0.709432258549983,0.6297310101594988,0.7123163810496479,0.06863841477376939,0.7941656552128238,0.733050134589502,0.7474216042423483,0.758212464681558,0.0260909782240119,12,0.8787242089338992,0.8380582931432166,0.8031511487980298,0.8399778836250485,0.03088241652125459,0.9818085947798576,0.9941176470588236,0.9979449239621866,0.9912903886002892,0.006884297236641073,2,0.996848187707932,0.998200105876125,0.9974985408154757,0.9975156114665108,0.0005520502626377378,0.43438702904467513,0.28589150783805123,0.2865911237016053,0.33562322019477725,0.06983714302811228,11,0.6649924074290386,0.5502509629975487,0.46009768855044036,0.5584470196590092,0.08384844647610099,0.8680082879061379,0.8786470634907673,0.8675941997577445,0.87141651705155,0.005115562439323039,10,0.9632622919318617,0.9468204891307994,0.9277119175169997,0.9459315661932203,0.01452698450587586,15251.0,14894.0,15472.0,15205.666666666666,238.13488241377453,2,15218.0,30539.0,45435.0,30397.333333333332,12336.445310091918,69.0,15.0,5.0,29.666666666666668,28.11089152307735,11,18.0,17.0,30.0,21.666666666666668,5.90668171555645,4849.0,6332.0,6044.0,5741.666666666667,642.0676669081608,2,2868.0,7706.0,14038.0,8204.0,4573.709508338573,3724.0,2535.0,2428.0,2895.6666666666665,587.3467648861465,11,5693.0,9428.0,11963.0,9028.0,2575.2960994806017
4.990675528844197,2.250211636845955,0.24392485618591309,0.009040967756512681,,16,1,"{""model__class_weight"": null, ""model__max_depth"": 16, ""model__min_samples_leaf"": 1}",0.6383212826155297,0.508311170212766,0.5790019960079841,0.5752114829454266,0.05314403901161997,8,0.8927820602662929,0.8380990602320992,0.8137056284682462,0.8481955829888795,0.03306282247793754,0.8073912861507555,0.7511776581426649,0.7798237922251451,0.7794642455061885,0.022950525757816982,7,0.9292767995965878,0.898490249528203,0.8816220300562505,0.9031296930603471,0.01972963240410442,0.9783184774753072,0.9661927330173775,0.8946459412780656,0.9463857172569168,0.036918935822700616,4,0.9819226457399103,0.9814365160178585,0.9518314357838339,0.9717301991805343,0.01407195009146592,0.4736964889770209,0.3448742528476373,0.42799811142587346,0.41552295108351056,0.05332613086482971,9,0.8184791496320524,0.731294502159449,0.7105880543056037,0.7534539020323683,0.046750410798417324,0.8953850954130995,0.8952061437674337,0.8906641288913708,0.8937517893573013,0.0021845276053072842,3,0.9912289567472927,0.9829085641263302,0.9698506545525221,0.9813293918087149,0.008798798785034074,15230.0,14802.0,15050.0,15027.333333333334,175.46382976430087,4,15107.0,30319.0,44530.0,29985.333333333332,12014.206377821585,90.0,107.0,427.0,208.0,155.01182750573153,9,129.0,237.0,935.0,433.6666666666667,357.2275962961926,4512.0,5809.0,4846.0,5055.666666666667,549.8620028900181,4,1554.0,4604.0,7525.0,4561.0,2437.8401642984445,4061.0,3058.0,3626.0,3581.6666666666665,410.6712662080084,9,7007.0,12530.0,18476.0,12671.0,4683.261043332946
3.4068816502889,1.612828613042699,0.21709394454956055,0.01812948458252128,,16,10,"{""model__class_weight"": null, ""model__max_depth"": 16, ""model__min_samples_leaf"": 10}",0.6078273473989371,0.5059657905715478,0.5630957230142566,0.5589629536615804,0.04168736040829545,10,0.8305326892985917,0.780506740066342,0.7734531848877533,0.7948308714175623,0.025408699431126475,0.7961746118109907,0.7509673620457604,0.7760658065054908,0.7744025934540807,0.018493216162956693,10,0.8953229398663697,0.8695743342419795,0.8610528083284359,0.875316694145595,0.014568035828571389,0.9815344603381014,0.9724182168056447,0.9087562450696818,0.954236307404476,0.03237389407653784,3,0.9944607363962202,0.9870581935023206,0.9506477483035164,0.9773888927340191,0.019148820928258384,0.4402192931295929,0.34194203225442654,0.40793201133144474,0.3966977789051547,0.04090037477364811,10,0.7130008176614882,0.6454418116026613,0.6519364639821545,0.6701263644154346,0.03043253941911117,0.8808381153838072,0.8948951710751856,0.8881727839409334,0.8879686901333087,0.0057405832682380165,7,0.9775532593928721,0.9659477584822149,0.9523510543692216,0.9652840240814363,0.010299456038374415,15249.0,14823.0,15130.0,15067.333333333334,179.4702079888346,3,15202.0,30411.0,44585.0,30066.0,11998.039867689498,71.0,86.0,347.0,168.0,126.72016414130783,10,34.0,145.0,880.0,353.0,375.39046338446053,4799.0,5835.0,5016.0,5216.666666666667,446.11234260242367,3,2457.0,6075.0,9050.0,5860.666666666667,2695.84449765849,3774.0,3032.0,3456.0,3420.6666666666665,303.9488261021728,10,6104.0,11059.0,16951.0,11371.333333333334,4433.773136079723
19.981866041819256,13.33414128481862,0.2759263515472412,0.027875646209140896,,,1,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 1}",0.6672164330159682,0.6383782605536583,0.6683859875349237,0.6579935603681834,0.013878327338059245,3,0.9874393877431793,0.9905290850628471,0.9926379895158803,0.9902021541073024,0.0021348736082888995,0.8142133679320303,0.790671265141319,0.8067142678191156,0.8038663002974883,0.009819736595424759,2,0.9909652477203009,0.9932061228769133,0.9946548008843366,0.9929420571605169,0.001517783178299477,0.9336970205623164,0.8972630718954249,0.850191361399672,0.8937171512858044,0.034183123933448335,9,0.9877279102384292,0.9922112907003983,0.9948236566616449,0.9915876192001575,0.0029302023742173934,0.5190715035576811,0.4954325025374986,0.5506373937677054,0.521713799954295,0.022614616241425363,4,0.9871510337577386,0.9888525738298121,0.9904619053113342,0.9888218376329615,0.0013518323728553717,0.8976430457940848,0.8938502241594193,0.8853078341049251,0.8922670346861431,0.005158761384629406,4,0.9993433914211447,0.9994186017905298,0.9995162885160543,0.9994260939092429,7.078347377346156e-05,15004.0,14406.0,14655.0,14688.333333333334,245.26765425188503,9,15131.0,30423.0,45331.0,30295.0,12329.430589717704,316.0,503.0,822.0,547.0,208.90348648758035,4,105.0,133.0,134.0,124.0,13.4412301024373,4123.0,4474.0,3807.0,4134.666666666667,272.426544635838,9,110.0,191.0,248.0,183.0,56.621550667568265,4450.0,4393.0,4665.0,4502.666666666667,117.12196871447966,4,8451.0,16943.0,25753.0,17049.0,7063.90958794538
4.3792078495025635,2.2716681263154617,0.22970223426818848,0.005352301965737555,,,10,"{""model__class_weight"": null, ""model__max_depth"": null, ""model__min_samples_leaf"": 10}",0.6283136820447891,0.5262295081967213,0.6130321192561856,0.5891917698325654,0.04495602542515568,6,0.8622042097006145,0.8364588165131536,0.8173024671231388,0.8386551644456356,0.018396731227836142,0.8034152262168837,0.7568977119784657,0.7897198212869013,0.7833442531607502,0.019518464496108133,6,0.9114174055553221,0.896498217655693,0.8823916267875633,0.8967690833328595,0.011851272348852663,0.9768700787401575,0.963096309630963,0.8782474680757376,0.9394046188156194,0.04360869174704982,5,0.9789223690069764,0.9674279583077866,0.9398120375924816,0.9620541216357482,0.016412659672159862,0.46308176834247056,0.36201646554640804,0.47084513692162416,0.43198112360350094,0.049573901102014,6,0.7703539306155823,0.7367223065250379,0.7230491134956348,0.7433751168787516,0.01987680968515455,0.8850098783021199,0.8907357014041267,0.8917812179857125,0.889175599230653,0.0029763735620614126,6,0.9804461704551424,0.9709615852959645,0.9607589820511814,0.9707222459340961,0.008039042617578655,15226.0,14786.0,14924.0,14978.666666666666,183.74136412057274,5,15094.0,30131.0,44261.0,29828.666666666668,11909.296825962854,94.0,123.0,553.0,256.6666666666667,209.87350687709227,8,142.0,425.0,1204.0,590.3333333333334,449.045159817535,4603.0,5657.0,4483.0,4914.333333333333,527.4247708336127,7,1966.0,4511.0,7201.0,4559.333333333333,2137.453053415573,3970.0,3210.0,3989.0,3723.0,362.8287015475301,6,6595.0,12623.0,18800.0,12672.666666666666,4982.794151433064
2.044257084528605,0.7427110298612295,0.20614941914876303,0.010455423158550014,balanced,8,1,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 1}",0.6037186742118027,0.5065516399446569,0.6087962962962963,0.5730222034842519,0.04704747548637611,9,0.8035202905636656,0.7579342589968829,0.7684627610754181,0.7766391035453223,0.019487791060743546,0.7948353074122128,0.7449949528936743,0.7883001377928097,0.776043466032899,0.022116128904882123,9,0.8817918224986343,0.8566995177185993,0.8552738365096689,0.8645883922423009,0.012178578219309821,0.9834079536476166,0.9099415204678363,0.8790106951871658,0.9241200564342061,0.04378333058084073,6,0.9993050729673384,0.964047576139845,0.9193358328869845,0.9608961606647227,0.032723268015078105,0.4355534818616587,0.3509642494643059,0.4656515580736544,0.41738976313320636,0.048550559197251514,8,0.6718841256862516,0.6244309559939302,0.6601284565978232,0.6521478460926683,0.020177849843963442,0.8672584536612152,0.8730598577500012,0.8733126443741217,0.8712103185951127,0.002796295479279672,11,0.9685067847687601,0.9491135729176792,0.9345841574087281,0.9507348383650558,0.013896223419573145,15257.0,14601.0,14934.0,14930.666666666666,267.8212505052992,6,15232.0,30157.0,43959.0,29782.666666666668,11730.73530896034,63.0,308.0,543.0,304.6666666666667,195.97335419784895,7,4.0,399.0,1506.0,636.3333333333334,635.7391149065961,4839.0,5755.0,4527.0,5040.333333333333,521.1508632077877,5,2809.0,6435.0,8837.0,6027.0,2477.773731934913,3734.0,3112.0,3945.0,3597.0,353.5995852184596,8,5752.0,10699.0,17164.0,11205.0,4672.648285501488
1.9438103040059407,0.7061594273789785,0.19949738184611002,0.010309857110936994,balanced,8,10,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",0.6036246476037052,0.5297907883223292,0.6052672347017816,0.5795608902092719,0.035199164805159715,7,0.7994689770821688,0.7752265025243793,0.7593776111650595,0.7780243635905358,0.016486366593522536,0.7940400954254384,0.7513879542395693,0.7872144974737985,0.7775475157129353,0.01870631246769341,8,0.8793965625919233,0.8637030824072133,0.8509081241429491,0.8646692563806954,0.011650404869231606,0.9752732951587715,0.8990280777537797,0.8803515096890491,0.9182176275338666,0.04105862032721696,7,0.9947835159102765,0.9512050237610319,0.9197483588621445,0.9552456328444844,0.03076592909516865,0.4370698705237373,0.375549791361227,0.461166194523135,0.4245952854693664,0.036048611409268294,7,0.6682630533816143,0.654196334772966,0.6466289758086228,0.6563627879877344,0.008963945104598707,0.8649735538040829,0.8728936526418991,0.8704346951091275,0.8694339671850365,0.0033098926149485036,12,0.9656414007437061,0.9489562048531986,0.9301426816595846,0.9482467624188299,0.014500971130217576,15225.0,14535.0,14946.0,14902.0,283.4043048367473,7,15206.0,29981.0,43998.0,29728.333333333332,11755.642512805878,95.0,374.0,531.0,333.3333333333333,180.30406416815887,6,30.0,575.0,1467.0,690.6666666666666,592.3266741325168,4826.0,5537.0,4565.0,4976.0,410.7480979870753,6,2840.0,5925.0,9188.0,5984.333333333333,2591.899732285611,3747.0,3330.0,3907.0,3661.3333333333335,243.22326277631333,7,5721.0,11209.0,16813.0,11247.666666666666,4528.372579881455
5.292920351028442,2.5204469024820395,0.224688450495402,0.006486207226141488,balanced,16,1,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 16, ""model__min_samples_leaf"": 1}",0.6671152983400628,0.6327430430068667,0.6888230021374888,0.6628937811614727,0.023088328357128995,2,0.9156931229676021,0.8944638764925823,0.8664048326322296,0.892187277364138,0.02018615150277898,0.8136692755200268,0.7862971063257066,0.8115578938577811,0.8038414252345049,0.012435616258985802,3,0.9411690549228895,0.9266093520654225,0.9062351327904178,0.9246711799262433,0.01432741224181155,0.9291814205373881,0.8810386473429952,0.8282208588957055,0.879480308925363,0.04123170354406826,10,0.9450590428837787,0.9252651278852152,0.8994535971520822,0.923259255973692,0.01867229340834093,0.520354601656363,0.4936280590955227,0.5895892351274787,0.5345239652931215,0.04043690538573258,2,0.8880971849083051,0.8656472510797245,0.8356986269758856,0.8631476876546383,0.021464514612670262,0.8987987858231212,0.8929699883817546,0.8920896693823843,0.8946194811957534,0.002976987376685457,1,0.9903538568625958,0.9826760652001221,0.9689890917027856,0.9806730045885012,0.008836382609938324,14980.0,14318.0,14441.0,14579.666666666666,287.4976328404964,10,14794.0,29358.0,43036.0,29062.666666666668,11531.639297553878,340.0,591.0,1036.0,655.6666666666666,287.7966102804008,3,442.0,1198.0,2429.0,1356.3333333333333,818.8790441138965,4112.0,4490.0,3477.0,4026.3333333333335,417.96836669245147,11,958.0,2302.0,4272.0,2510.6666666666665,1360.9568529367693,4461.0,4377.0,4995.0,4611.0,273.6859514114672,2,7603.0,14832.0,21729.0,14721.333333333334,5767.446247883219
3.386716286341349,1.5492700758829376,0.21580219268798828,0.006497541163276868,balanced,16,10,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 16, ""model__min_samples_leaf"": 10}",0.6666666666666666,0.6113473097786248,0.6849958552086212,0.6543366105513041,0.031305481669558,4,0.8859934853420195,0.8682548882042522,0.844560635538262,0.8662696696948445,0.016973039015111643,0.8132925961578705,0.7770020188425303,0.8095953902041839,0.799963335068195,0.01630611061488343,5,0.9220489977728286,0.9094359404487314,0.8926762376514706,0.9080537252910102,0.012031144260997075,0.9274428274428275,0.8732984293193717,0.8257828114590273,0.875508022740409,0.04153192699415188,12,0.9348897535667964,0.9094510831363026,0.8926444758600008,0.9123284375210333,0.017366159589319405,0.520354601656363,0.47028307206495995,0.5852219074598678,0.5252865270603969,0.04705299768436755,3,0.8419577152201846,0.8306291583985059,0.8013922541440713,0.824659709254254,0.01709024868931155,0.8785202320175156,0.8893029955202911,0.8876123365732684,0.885145188037025,0.004735125032781627,8,0.9775999760065128,0.9670205896361023,0.9540352035711914,0.9662185897379354,0.009636978359756253,14971.0,14304.0,14431.0,14568.666666666666,289.17853001601316,11,14734.0,29139.0,42959.0,28944.0,11523.632963031523,349.0,605.0,1046.0,666.6666666666666,287.8707271598756,2,502.0,1417.0,2506.0,1475.0,819.1568836309684,4112.0,4697.0,3514.0,4107.666666666667,482.9674477183276,10,1353.0,2902.0,5164.0,3139.6666666666665,1564.8843052727216,4461.0,4170.0,4958.0,4529.666666666667,325.34323755415943,3,7208.0,14232.0,20837.0,14092.333333333334,5564.892351958741
