candidate,family,fold,train_rows,validation_rows,training_canceled,validation_canceled,validation_membership_sha256,f1,accuracy,precision,recall,roc_auc,tn,fp,fn,tp,training_f1
lr_07,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.7132110662107554,0.8059808209959624,0.7946799667497921,0.6468929739483478,0.8872405831723622,13427,1482,3131,5736,0.8044703289784354
lr_07,logistic_regression,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.7322722413588312,0.8117666708422063,0.7369113076739182,0.7276912181303116,0.8855448477478202,13276,2201,2307,6165,0.7920176287661923
lr_08,logistic_regression,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.7088991270611057,0.7990206336583937,0.7379780386217342,0.6820249620902834,0.8673180897035717,13244,2076,2726,5847,0.8528988427658472
lr_08,logistic_regression,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.748886910062333,0.8102288021534321,0.7392594220415339,0.7587684673508515,0.8868109249646343,12536,2373,2139,6728,0.8248817543356743
lr_08,logistic_regression,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.7335521175183622,0.7864211449329825,0.6565034965034965,0.8310906515580736,0.8858763122139934,11793,3684,1431,7041,0.8080448254109615
rf_01,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6027840725153771,0.7945841878374419,0.9844039122389638,0.43438702904467513,0.867580336011505,15261,59,4849,3724,0.7985692242951326
rf_01,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.44321669736034375,0.7329660161507402,0.9964511041009464,0.28498928611706326,0.874291115962534,14900,9,6340,2527,0.7097211245342667
rf_01,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.4451985692011373,0.7474216042423483,0.9983545865898807,0.2864730878186969,0.8770822309176924,15473,4,6045,2427,0.6301182294546699
rf_02,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6022966197638687,0.7941656552128238,0.9818085947798576,0.43438702904467513,0.8680082879061379,15251,69,4849,3724,0.7977858744394619
rf_02,random_forest,2,47690,23776,17134,8867,86a2d2f9e0eec55f4bc275da566014ebecb728ce115edf3378c1d1227ed8a0d3,0.44407462555837784,0.733050134589502,0.9941176470588236,0.28589150783805123,0.8786470634907673,14894,15,6332,2535,0.709432258549983
rf_02,random_forest,3,71466,23949,26001,8472,bf1fe269d30f76b1f9de507830d2e7f579f9130510ef346f7f38f0c1ff4d8e62,0.445300320953691,0.7474216042423483,0.9979449239621866,0.2865911237016053,0.8675941997577445,15472,5,6044,2428,0.6297310101594988
rf_03,random_forest,1,23797,23893,8561,8573,b9526fb1f5404cb5fd294a9b8fdfd818aade4e6dc39eb3e8a381bb79a4896a89,0.6383212826155297,0.8073912861507555,0.9783184774753072,0.4736964889770209,0.8953850954130995,15230,90,4512,4061,0.8927820602662929
