family,untuned_candidate,tuned_candidate,untuned_mean_f1,tuned_mean_f1,f1_change
logistic_regression,lr_selected,lr_06,0.7136094599372149,0.7321017246390454,0.01849226470183052
random_forest,rf_selected,rf_12,0.6579935603681834,0.6692935581530545,0.011299997784871119
