feature,count,mean,std,min,25%,50%,75%,max,missing_before_imputation
total_nights,95415.0,3.3562018550542367,2.556418472321123,0.0,2.0,3.0,4.0,69.0,0
total_guests,95411.0,1.9434132332749892,0.7259217983036478,1.0,2.0,2.0,2.0,55.0,4
previous_bookings_total,95415.0,0.23953256825446734,1.7702367239742012,0.0,0.0,0.0,0.0,67.0,0
has_booking_history,95415.0,0.09254310118954043,0.28979260819474856,0.0,0.0,0.0,0.0,1.0,0
previous_cancellation_share,95415.0,0.06245365787713326,0.24035054574829207,0.0,0.0,0.0,0.0,1.0,0
company_code_recorded,95415.0,0.06183514122517424,0.2408571454892041,0.0,0.0,0.0,0.0,1.0,0
arrival_month_sin,95415.0,-0.04842843912251574,0.7384387590773206,-1.0,-0.8660254037844384,0.0,0.8660254037844386,1.0,0
arrival_month_cos,95415.0,-0.0065619366933257995,0.6725550401074325,-1.0,-0.5000000000000004,-1.8369701987210297e-16,0.5000000000000001,1.0,0
